기준_년분기_코드,상권_구분_코드,상권_코드,상권_코드_명,총_상주인구_수,연령대_10_상주인구_수,연령대_20_상주인구_수,연령대_30_상주인구_수,연령대_40_상주인구_수,연령대_50_상주인구_수,연령대_60_이상_상주인구_수,총_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,상권_변화_지표
20211,A,3110001,이북5도청사,1020,160,142,94,160,194,270,166405,30014,17921,16183,26627,29059,46601,41569,35726,19802,20188,27709,21413,23299,23194,23246,23507,23139,24819,25200,339700445,11506,213674878,126025567,30474141,49069636,49832253,40985323,43313525,59816177,66209390,395544,2468405,119415807,68587545,139620637,9212507,193509141,87708010,636784,10395420,23358907,50399596,94729783,101696659,LH
20211,A,3110002,독립문역 1번,629,79,57,59,78,91,265,500383,87535,62713,59752,75138,76193,139053,108655,103294,64726,67792,90836,65078,72739,72699,72664,72224,72402,69444,68211,672671287,53326,524032094,148639193,99255097,110336633,97414554,117689155,99336655,91567879,57071314,110254,99931348,200596834,105366088,227280216,39386547,306216480,269669927,1501196,51982658,99020202,132942621,159786133,130653601,HH
20211,A,3110003,세검정초등학교,3212,603,399,372,551,533,754,546676,102954,62621,57379,90631,84200,148891,182289,114066,53929,51819,72762,71813,77787,77410,77479,78127,78263,79052,78558,332138197,11943,249979631,82158566,41941248,64393637,44876451,49336609,49431686,55270867,26887699,732545,5448940,62557579,33293280,142610269,87495584,174857727,87910628,3356619,18150407,30685711,48608903,88664935,73301783,HH
20211,A,3110004,대신고등학교,471,57,61,47,69,77,160,473824,86236,57293,62268,75894,69869,122265,94187,94424,62855,66848,93422,62088,68173,68827,68738,68202,67715,66633,65537,313294781,7880,179526847,133767934,25798151,28129320,40848688,40701478,44049210,60783864,72984070,0,7446680,74295815,49604489,170238201,11709596,149634791,92382991,607426,8938947,35290560,47955093,76942691,72283062,HH
20211,A,3110005,세검정,2153,356,294,250,346,374,533,271751,42175,29104,34676,44556,46805,74436,78768,55190,28147,26921,41762,40962,38605,38926,38879,38484,38432,38756,39668,205848725,7746,143815202,62033523,9608169,35262174,32187621,42067109,24690129,35465879,26567644,0,3599573,73166602,40602678,77838524,10641348,100242967,80220650,1556568,14520851,26665347,41915776,54826702,40978374,HH
20211,A,3110007,사직공원(한국사회과학도서관),1927,267,268,257,315,325,495,784962,165474,86495,102268,141994,105885,182846,236005,168783,80941,77192,114900,107142,110116,109953,110521,110775,109978,114036,119584,37076223,402,31795041,5281182,386588,3562618,2725793,9356618,15763424,5258914,22268,0,0,2687520,10434300,16316713,7637690,10785806,7496682,0,6699438,5391851,4040074,1640270,510857,LH
20211,A,3110008,배화여자대학교(박노수미술관),4595,714,563,656,846,716,1100,1760278,328846,227986,261300,322282,250630,369234,543209,376949,189509,174091,245855,230664,248831,249483,250266,250724,250414,253574,256983,2643151549,155002,1457494749,1185656800,160046507,262721174,374132264,279333985,381260819,614107508,571549292,2388836,34372038,832663760,967620985,723666507,82439423,901631614,1563062504,13491986,923043594,692696531,327458786,338598544,169404673,LL
20211,A,3110009,자하문터널,1602,216,209,237,305,277,358,197242,25062,24016,25297,36749,32738,53379,58868,41670,21568,20691,28575,25868,27772,27661,27939,27725,28239,28825,29079,594745559,24420,332190486,262555073,31580532,54653430,88851144,70079790,87025590,134556325,127998748,628594,440441,186525334,181076254,184649377,41425559,247465773,238877992,1694227,92360823,135620897,93504244,111691630,51471944,LL
20211,A,3110010,평창동서측,3134,428,389,369,499,549,900,322424,60208,33126,38420,49303,52770,88598,82337,68079,38754,37951,53447,41856,46323,46473,46385,46296,46120,45524,45303,541672535,52067,437116127,104556408,29123363,128400055,95303016,89733486,94556207,93707381,10849027,0,14575543,179368875,182597364,162713696,2417057,164898107,355990355,110240551,107503749,66188844,109522407,96897804,30535109,HH
20211,A,3110012,성곡미술관,1928,272,287,267,291,375,436,465290,45146,57659,91566,93086,72983,104850,84698,105457,77448,74244,79114,44328,71192,73025,72950,71112,68645,53608,54756,1227051932,47585,985010296,242041636,162981873,202274169,214313422,193418067,212022765,140474916,101566720,0,25365692,526377411,132299394,401732620,141276815,407000797,386086066,1304572,186769083,217577582,162194384,140967908,84273345,HH
20211,A,3110014,경복고등학교,931,136,113,93,162,161,266,49423,8793,7168,7173,9120,7722,9446,8047,11109,8328,8621,8427,4890,7150,7295,7405,7359,7276,6485,6451,290794293,10874,207883877,82910416,29837643,42650996,46929338,33789162,54676738,38906046,44004370,0,9168200,146035458,56197079,76331796,3061760,123061751,100713854,1237093,14006413,39984409,62902226,59623816,46021644,LH
20211,A,3110015,청와대사랑채,589,98,82,91,103,94,121,62876,5951,10328,11603,12702,10074,12219,10613,13124,10146,10549,11671,6774,9172,9432,9481,9359,9085,8326,8021,801749527,18313,493001146,308748381,74673633,102799485,78353844,90185772,146988412,205667199,103081182,0,423905,170679671,218346943,330784453,81514555,267863706,430665846,4445485,249866977,267226592,57257890,78311959,41420651,HL
20211,A,3110016,평창동동측,2075,259,311,233,268,353,651,29382,4465,2771,3818,4903,5473,7952,4582,6196,4815,4827,5783,3179,4050,4077,4068,4093,4280,4461,4354,170468753,6642,103843640,66625113,21185015,19935023,25802998,16386110,20534494,33180559,33444554,0,238664,82847609,58330969,28544716,506795,79501325,64772995,83659,12121366,28969305,33543698,42141675,27414618,HH
20211,A,3110018,중앙고등학교,2795,371,339,398,509,431,747,400330,59444,52209,64042,85420,61373,77844,99045,87690,56072,56724,56354,44445,59253,61422,60515,60734,58619,50141,49648,539669919,22122,383033227,156636692,69475577,73420234,84480306,67236751,88420359,82982764,73653928,0,3662050,205613606,147896334,172708695,9789234,192244588,199232835,558750,104844259,118558063,62636017,67284192,37596146,HH
