기준_년분기_코드,상권_구분_코드,상권_코드,상권_코드_명,총_상주인구_수,연령대_10_상주인구_수,연령대_20_상주인구_수,연령대_30_상주인구_수,연령대_40_상주인구_수,연령대_50_상주인구_수,연령대_60_이상_상주인구_수,총_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,상권_변화_지표,연령대_10_총_인구_수,연령대_20_총_인구_수,연령대_30_총_인구_수,연령대_40_총_인구_수,연령대_50_총_인구_수,연령대_60_이상_총_인구_수
20231,A,3110001,이북5도청사,1011,116,130,122,119,171,353,165477,30530,17357,18021,24478,26358,48732,41816,34996,18908,20040,28030,21687,23237,23162,23083,22994,22721,24868,25411,542458460,21334,314119821,228338639,48128082,51958761,69102481,66908113,78022384,110741760,117596879,2190340,46389358,196836599,110076848,161801872,25163443,288106372,180797472,1184846,15622202,44819929,84915346,147172835,175188691,HH,30646,17487,18143,24597,26529,49085
20231,A,3110002,독립문역 1번,663,52,60,53,79,111,308,560130,101939,68041,71259,80137,84568,154184,117892,119832,76306,78830,100857,66410,80383,81347,81870,80913,81082,78748,75785,452192952,18282,364090632,88102320,71085782,75089380,66002742,81986813,69925915,57512504,30589816,3947078,9384606,229573635,70815367,123567105,14905161,235319904,180448069,0,20222807,54943087,90368596,98742654,151490829,HH,101991,68101,71312,80216,84679,154492
20231,A,3110003,세검정초등학교,2926,331,413,381,381,533,887,543590,111194,60841,53409,87129,86842,144175,185602,115352,51453,48959,70433,71791,77533,77113,77744,76601,77264,78551,78783,588793789,16260,463760125,125033664,63882429,60154544,86030141,104518963,149174048,80549506,44484158,104770034,1014293,131442030,53425938,157613268,140528226,368171500,160416210,3954923,52291852,90442691,95300640,175350992,111246621,HH,111525,61254,53790,87510,87375,145062
20231,A,3110004,대신고등학교,529,51,55,57,78,94,194,642485,117797,78201,88409,102874,97815,157389,125860,131581,88539,91948,124734,79821,90768,91379,93847,91946,92386,92667,89490,378624876,7044,243138286,135486590,34424123,24669011,56817942,57868602,69358608,67164757,68321833,0,9802857,115325209,57124177,170958964,25413669,189597158,111101164,0,15396368,38894321,53669824,91277019,101460791,HH,117848,78256,88466,102952,97909,157583
20231,A,3110005,세검정,2153,243,308,267,285,410,640,114445,21560,10356,12408,18312,19951,31858,31891,23936,12606,12328,17797,15889,16185,16435,16471,16332,16460,16135,16426,270013261,8435,180506280,89506981,12041749,33989539,43145692,41259552,50069748,53416467,36090514,1559181,5527688,95567978,51505678,100812368,15040368,123336509,106847264,631512,18623512,25834235,42953383,58088408,84052723,HH,21803,10664,12675,18597,20361,32498
20231,A,3110006,부암동주민센터,671,46,68,70,66,127,294,8336,957,687,796,1121,1081,3695,1925,1923,927,1062,1378,1121,1169,1194,1241,1168,1101,1217,1246,78430495,4507,53055651,25374844,2829177,7513587,7106461,28635129,6971297,11726014,13648830,0,76302,9789573,40860378,20548185,7156057,22539976,52515236,309789,11107667,37764437,8235938,10917592,6719789,LH,1003,755,866,1187,1208,3989
20231,A,3110007,사직공원(한국사회과학도서관),2073,256,225,309,330,332,621,905738,191626,105487,116314,156882,134670,200759,273773,194329,93805,88458,132392,122984,126640,126253,128840,125793,125341,133692,139181,39000000,661,29743857,9256143,864978,8554444,3504899,5483398,11336138,7646553,1609590,1389065,418680,8575247,764557,9656588,18195863,16145346,11761757,0,5020364,10586952,5277876,4397590,2624322,LH,191882,105712,116623,157212,135002,201380
20231,A,3110008,배화여자대학교(박노수미술관),5038,621,598,669,863,875,1412,1277779,237065,166213,192380,225446,191834,264842,334313,260415,163638,153351,205272,160789,180650,181955,182129,182856,181907,185146,183135,4454621914,239424,2807421036,1647200878,430885571,543481349,625430611,541781832,665841673,923423600,723777278,58374946,144534241,1345165327,1297785704,1299843670,308918026,1627030550,2522298477,24780404,1148522951,1307801527,635102867,662986320,370134944,LL,237686,166811,193049,226309,192709,266254
20231,A,3110009,자하문터널,1622,159,207,221,257,302,476,167144,22634,20075,22528,30530,27118,44258,49426,33190,18215,17958,25288,23069,23099,23380,24011,23752,23293,24842,24767,760404320,17975,432541814,327862506,31035157,79537657,108766364,94116272,119086364,173718797,154143709,37970167,338800,189085276,184371183,294118311,54520583,301394240,334913920,2648567,66874307,158133842,175748122,157892265,75011058,LL,22793,20282,22749,30787,27420,44734
20231,A,3110010,평창동서측,3015,295,368,395,409,517,1031,133922,22809,12025,14099,20620,24773,39596,41654,29280,13616,12983,18717,17673,19209,19069,18607,18647,18285,19771,20336,884051687,47587,682589937,201461750,28047847,84193995,125931753,220245582,224170760,199125422,2336328,0,67571088,354442617,246839533,208797911,6400538,287133121,526844387,40380316,66045450,218896208,244593987,198743879,45317668,LH,23104,12393,14494,21029,25290,40627
