기준_년분기_코드,상권_구분_코드,상권_코드,상권_코드_명,총_상주인구_수,연령대_10_상주인구_수,연령대_20_상주인구_수,연령대_30_상주인구_수,연령대_40_상주인구_수,연령대_50_상주인구_수,연령대_60_이상_상주인구_수,총_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,상권_변화_지표,연령대_10_총_인구_수,연령대_20_총_인구_수,연령대_30_총_인구_수,연령대_40_총_인구_수,연령대_50_총_인구_수,연령대_60_이상_총_인구_수
20241,A,3110001,이북5도청사,1011,116,130,122,119,171,353,137658,25144,14705,14746,19774,23213,40074,36540,29900,15865,15830,21964,17560,18664,19410,18605,19540,19569,20590,21282,594027340,21908,318709682,275317658,48176671,48409122,76287919,70188825,75647145,137809150,137508508,2632808,56918352,204803844,110992244,205383234,13296858,314987926,201384481,322482,17233166,50779588,92193900,149307342,206535928,HH,25260,14835,14868,19893,23384,40427
20241,A,3110002,독립문역 1번,663,52,60,53,79,111,308,517847,97404,58221,62212,80917,81477,137616,107423,112107,72122,72718,92577,60902,74442,74785,74311,75311,75223,72993,70787,458693088,18079,328079516,130613572,64504879,69267665,66623225,62145378,65538369,82087799,48525773,4503859,9126827,213927151,86932938,120410508,23791805,268526238,154599258,374862,17616190,46757494,73685269,117503777,167187902,HH,97456,58281,62265,80996,81588,137924
20241,A,3110003,세검정초등학교,2926,331,413,381,381,533,887,492704,107949,56098,48297,77220,80199,122939,165896,104310,47041,45466,64608,65382,69240,71819,69981,70318,69803,69827,71714,433291793,13678,346045753,87246040,53376215,91257624,91940639,45042792,64428483,66304717,20941323,59765181,2290180,126641166,44522987,103784675,96287604,256264737,139437707,3135080,24626982,42236149,63501560,166943521,95259154,HH,108280,56511,48678,77601,80732,123826
20241,A,3110004,대신고등학교,529,51,55,57,78,94,194,733843,137440,86283,98884,122745,113632,174859,160309,153939,96372,97590,133716,91918,103614,105332,105112,104155,104960,105406,105263,377334991,6965,223465737,153869254,45488640,27639354,40203912,43994751,66139080,74139491,79729763,0,13788307,93276412,82190103,165611513,22468656,203884101,105347727,47595,9547087,34137555,73105116,91261944,101132528,HH,137491,86338,98941,122823,113726,175053
20241,A,3110005,세검정,2153,243,308,267,285,410,640,125332,23644,11458,12375,19601,22404,35851,34280,26498,13996,13610,19717,17229,17968,17943,17866,17741,17890,17961,17962,289485898,6478,188575308,100910590,14187040,46797641,33232241,50042949,44315437,61796056,39114534,2830915,2728267,107263251,45357857,106903252,24402356,126820097,111201599,740393,16270402,37025791,34094990,60340293,89549827,HH,23887,11766,12642,19886,22814,36491
20241,A,3110006,부암동주민센터,671,46,68,70,66,127,294,7611,946,733,777,1278,1117,2761,1654,1588,929,1065,1328,1048,979,1046,1020,1062,1080,1233,1190,51426053,4038,25456595,25969458,2272170,2806285,5199995,6282942,8895203,13642291,12327167,133529,0,11125953,18646079,17372922,4147570,20579196,28797052,32701,11401890,13517034,8390104,9995187,6039333,HH,992,801,847,1344,1244,3055
20241,A,3110007,사직공원(한국사회과학도서관),2073,256,225,309,330,332,621,947450,200051,114418,121986,164522,142928,203545,288392,210424,97286,90376,134697,126272,132877,134063,133045,132889,131631,137739,145203,39180297,782,33643046,5537251,3990905,5252764,16924120,2303049,5172208,3918484,1618767,0,0,19189061,817668,5008182,14165386,13862794,10165305,0,5149036,8186806,5076663,4499389,1116206,HH,200307,114643,122295,164852,143260,204166
20241,A,3110008,배화여자대학교(박노수미술관),5038,621,598,669,863,875,1412,1263951,240409,170427,197315,212064,190307,253429,327590,253426,161376,155708,206354,159496,178266,181095,179386,182184,179835,182860,180326,4288126991,230865,2573659012,1714467979,388544495,413633399,560397815,509310207,701773096,948564812,765903167,51235226,174853665,1255362902,1282041229,1251604546,273029423,1474687870,2522944499,26234140,1059921213,1229415054,670539145,634951372,376571455,LL,241030,171025,197984,212927,191182,254841
20241,A,3110009,자하문터널,1622,159,207,221,257,302,476,164016,21546,19990,22568,32794,26596,40522,47284,32540,18257,18044,25191,22701,22465,22973,22897,23337,23466,24537,24342,797648265,18302,388577770,409070495,24040631,77088282,95501033,82724928,109222896,213966809,195103686,55537723,474320,216067533,207742787,222999455,94826447,344390090,352488317,1492724,80852461,206812456,165475821,121388030,120856912,LL,21705,20197,22789,33051,26898,40998
20241,A,3110010,평창동서측,3015,295,368,395,409,517,1031,131584,23283,9441,12616,19588,26221,40435,40720,29039,13321,12622,18193,17690,18216,18546,18096,18903,18032,19417,20374,698743728,40888,396014898,302728830,25116368,57038075,130634721,103083558,80142176,299759409,2969421,1585383,5787044,306026607,203944142,177155790,4244762,169173005,439790617,22842072,71149168,187875344,211978904,67054560,48063575,LH,23578,9809,13011,19997,26738,41466
20241,A,3110012,성곡미술관,1916,262,212,252,312,358,520,607884,56680,79214,122139,123277,103835,122739,123007,133910,98428,94852,99194,58493,88842,93164,95005,93259,89841,72898,74874,3634361367,70627,2978630036,655731331,435867235,647076120,641594595,649740411,604351675,454567271,201164060,12135174,36358635,1594101315,400808207,1104540721,486417315,1018566767,1254229174,3682943,300991660,677341813,494515798,419567688,376696040,HH,56942,79426,122391,123589,104193,123259
20241,A,3110014,경복고등학교,916,87,122,82,125,165,335,51327,12130,5810,5887,8826,7927,10747,7617,12184,9879,9240,8060,4348,7521,7156,7480,7321,7355,7388,7107,401668112,11554,272121230,129546882,39595951,68858909,57956019,56648805,49061546,59918806,69628076,0,12975544,229927339,58848110,93793007,6124112,193972659,127981581,1025323,9413777,43404824,69309159,90583985,108217171,HH,12217,5932,5969,8951,8092,11082
20241,A,3110015,청와대사랑채,672,89,83,94,112,120,174,60330,7320,8840,10491,12615,9372,11690,6407,12215,12192,13067,10914,5536,8660,8446,9338,8718,8722,8528,7921,249436869,20890,156755934,92680935,34780012,25940311,30741086,28416392,36878133,53449324,39231611,0,7086818,84028252,97266388,61055411,0,66731550,178236781,938453,97891181,78704804,35981820,23625013,7827059,HL,7409,8923,10585,12727,9492,11864
20241,A,3110016,평창동동측,1988,217,199,253,247,295,777,38589,6195,5409,4646,5125,6001,11214,8332,8563,5889,5674,6036,4096,5721,5636,5395,5569,5189,5470,5608,174736291,5880,100576280,74160011,25846648,17402558,20487443,16664102,20175529,35449358,38710653,0,1847569,94310153,52040947,26156516,381106,78897811,72423985,90162,7250233,20968990,32642497,50503977,39865937,HH,6412,5608,4899,5372,6296,11991
20241,A,3110017,정독도서관,700,99,73,76,111,126,215,418403,51193,58300,66546,81392,66955,94015,84309,87080,72160,72971,64135,37747,59522,59251,61689,61244,62256,59975,54465,41996225,2588,21537757,20458468,1908541,2322073,4231577,9100939,3974627,12975113,7483355,0,1709645,9500743,15441004,6978461,8366372,17470370,21992206,0,6310165,15057284,12196395,4230615,1668116,LH,51292,58373,66622,81503,67081,94230
20241,A,3110018,중앙고등학교,2897,278,340,383,489,520,887,399028,56529,51007,67780,75659,67824,80228,86341,87753,62393,63204,58188,41150,57593,60499,61592,61360,58713,50732,48538,1079657223,46510,715971477,363685746,125766463,138075260,148807019,163447390,139875345,211018138,152667608,739450,21077902,435086768,287549717,322604904,12598482,386884056,496542057,1593222,181680524,271558764,155385023,163032508,110176070,LH,56807,51347,68163,76148,68344,81115
